age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,ses,y
15,2,3,2,1,0,3,5,1,1,1,5,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,1,0
15,4,3,1,3,0,5,4,3,1,1,4,0,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,0,0
16,4,4,2,3,0,2,4,3,1,1,5,4,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,0,0
15,3,4,1,3,0,4,3,2,1,1,5,2,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,False,0,0
15,2,2,1,1,0,4,3,1,1,1,2,8,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,1,0
16,2,2,2,2,0,3,3,3,1,2,3,16,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,1,0
15,4,4,1,1,0,5,4,3,2,4,5,8,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,0,0
15,4,4,1,2,0,4,3,3,1,1,5,0,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,0,0
15,2,2,1,1,0,5,4,1,1,1,1,0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,1,0
16,2,2,2,2,1,4,3,3,2,2,5,14,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,1,0
15,4,3,1,2,0,5,2,2,1,1,5,4,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,0,0
16,3,3,1,2,0,2,3,5,1,4,3,6,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False,0,0
16,4,3,1,4,0,4,2,2,1,1,2,2,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,0,0
15,4,2,1,2,0,4,3,3,2,2,5,4,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,0,0
15,4,4,1,2,0,4,4,4,1,1,3,2,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,True,False,0,0
16,2,2,3,2,0,4,3,3,2,3,4,0,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1,0
15,4,2,1,2,0,4,3,3,1,1,5,0,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,0,0
15,4,2,2,1,0,5,5,5,3,4,5,4,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0,1
15,4,4,1,1,0,3,3,4,2,3,5,0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,0,0
15,3,3,1,1,0,5,3,4,4,4,1,0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,0,0
16,2,1,1,2,0,5,3,4,1,1,2,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,1,0
15,4,3,1,2,0,4,3,2,1,1,1,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0,0
15,4,4,1,2,0,3,2,2,1,1,5,8,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,0,0
15,1,2,1,2,0,4,3,2,1,1,5,0,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,1,0
16,4,2,1,2,0,4,2,3,1,1,5,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,0,0
16,4,4,1,2,0,2,4,4,2,3,4,0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,0,0
16,1,1,4,1,0,5,5,5,5,5,5,0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,1,0
16,1,2,1,2,0,4,4,3,1,1,1,0,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False,1,0
16,4,3,1,3,0,3,4,4,2,4,4,0,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,False,0,0
15,4,3,1,2,0,4,4,4,2,4,2,0,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,True,0,0
16,4,3,3,2,0,5,4,3,1,2,1,2,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0,0
15,4,4,1,4,0,1,3,3,5,5,3,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True,0,0
16,3,1,1,4,0,4,3,3,1,2,5,0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,1,0
15,2,2,2,2,0,4,1,3,1,3,4,0,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,1,0
15,3,1,2,4,0,4,4,2,2,3,3,6,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,1,0
16,3,1,2,4,0,4,3,2,1,1,5,2,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,1,0
15,4,2,1,4,0,3,3,3,1,1,3,0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0,0
15,1,1,1,2,0,3,3,4,2,4,5,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,1,0
16,3,1,1,1,0,5,3,2,2,2,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,1,0
16,3,3,1,2,0,4,3,3,2,4,5,4,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,False,0,0
15,4,3,1,2,0,4,3,3,2,3,5,0,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,True,False,0,0
15,4,0,2,4,0,3,4,3,1,1,1,0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,1,0
16,2,2,1,4,0,5,2,3,1,3,3,1,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,1,0
17,2,1,2,1,3,4,5,1,1,1,3,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,False,1,0
16,3,4,1,2,0,2,4,3,1,2,3,14,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,0,0
15,2,3,1,1,0,3,2,2,1,3,3,0,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,1,0
15,2,3,1,3,0,5,3,2,1,2,5,2,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,1,1
15,3,2,1,2,0,4,4,4,1,1,5,4,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,1,0
15,2,2,2,2,0,5,3,3,1,3,4,2,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False,1,0
15,1,1,1,2,0,4,3,2,2,3,4,2,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,1,0
15,4,4,2,2,0,4,4,4,2,3,5,4,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,0,0
16,2,2,1,2,0,4,3,4,1,2,2,6,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,1,0
15,4,2,1,3,0,5,3,3,1,3,1,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,0,0
16,2,2,2,2,0,4,4,2,1,1,3,6,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1,0
16,4,4,1,2,0,4,1,3,3,5,5,6,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,0,0
16,3,3,1,3,0,4,3,3,1,3,4,2,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,0,0
15,4,3,1,1,0,4,5,5,1,3,1,6,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,0,0
16,3,1,1,2,0,3,3,3,2,3,2,0,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,1,0
16,4,2,2,2,0,5,3,3,1,1,1,2,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,0,0
15,2,2,1,4,0,4,3,4,1,1,4,2,False,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,1,0
15,1,1,2,4,0,3,1,2,1,1,1,4,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,1,0
16,4,3,2,1,0,3,3,3,1,1,4,6,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,True,False,0,0
16,2,1,1,2,0,4,3,5,1,1,5,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,1,0
16,4,4,1,1,0,5,3,4,1,2,1,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,0,0
16,4,3,1,3,0,5,3,5,1,1,3,2,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,0,0
16,4,4,1,1,0,4,5,5,5,5,4,12,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True,False,0,1
16,4,4,1,3,0,4,4,3,1,1,4,0,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True,True,True,0,0
15,4,4,1,1,0,5,3,3,1,1,5,2,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,0,0
15,3,2,2,2,0,4,3,5,1,1,2,16,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,True,True,False,1,0
15,3,4,1,2,0,5,4,4,1,1,1,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0,0
15,3,3,1,4,0,4,3,3,1,1,4,10,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,0,0
15,2,2,1,4,0,5,1,2,1,1,3,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,1,0
16,3,3,1,3,0,5,3,3,1,1,5,4,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,0,0
15,4,4,4,4,0,1,3,5,3,5,1,8,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,0,0
16,4,4,1,3,0,5,4,5,1,1,4,2,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,0,0
15,4,4,1,1,0,5,5,3,1,1,4,4,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,0,0
16,3,3,1,3,0,4,1,2,1,1,2,4,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,0,0
16,2,2,1,2,1,3,1,2,1,1,5,12,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,False,1,0
15,4,2,1,1,0,3,5,2,1,1,3,10,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0,0
15,2,1,1,2,0,5,4,2,1,1,5,4,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,1,0
16,4,4,1,2,0,5,4,4,1,2,5,6,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,0,0
15,4,4,2,2,0,4,4,3,1,1,2,4,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False,0,0
16,3,3,2,1,0,5,4,2,1,1,5,6,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,0,0
17,1,3,3,2,1,5,2,4,1,4,5,14,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,1,0
15,3,4,1,1,0,3,4,3,1,2,4,2,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,0,0
15,1,2,1,2,0,3,2,3,1,2,1,0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,1,0
15,2,2,1,4,0,5,5,4,1,2,5,6,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,True,True,False,1,0
16,2,4,2,2,0,4,2,2,1,2,5,2,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,0,0
16,4,4,1,1,0,3,4,4,1,4,5,4,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0,0
16,2,2,1,2,0,5,4,4,1,1,5,0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,1,0
15,3,4,1,1,0,5,5,5,3,2,5,2,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,0,1
15,3,4,1,2,0,5,3,2,1,1,1,0,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,True,0,0
19,0,1,1,2,2,3,4,2,1,1,5,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,1,0
16,4,4,1,1,0,3,5,5,2,5,4,8,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,0,0
16,2,3,2,3,0,3,2,3,2,2,1,4,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,1,0
15,3,4,2,3,0,4,2,2,2,2,5,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,0,0
18,2,1,1,2,3,5,4,5,1,3,5,10,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,True,True,1,1
17,2,1,3,1,0,3,2,2,1,2,5,8,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,1,0
15,1,1,3,1,0,4,3,3,1,2,4,6,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,True,1,0
17,2,2,1,1,0,3,4,4,1,3,5,2,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,1,0
16,3,4,1,1,0,3,2,1,1,4,5,12,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0,0
16,2,1,4,1,0,3,2,1,1,1,2,4,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,1,0
16,2,2,1,1,1,5,3,4,1,1,5,12,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,1,0
15,3,4,4,2,0,5,3,3,1,1,5,2,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,0,0
15,4,4,1,3,0,4,3,3,1,1,5,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,0,0
17,3,4,3,2,0,5,4,5,2,4,5,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0,0
16,1,1,4,2,0,5,1,3,1,1,3,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,1,0
18,3,1,2,1,0,3,3,4,4,5,4,2,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,1,0
18,3,2,1,3,0,4,3,3,5,1,5,10,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,1,0
16,1,1,2,1,0,3,3,3,1,2,1,8,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,1,0
16,3,3,2,1,0,4,3,2,1,1,5,4,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,0,0
16,1,1,1,2,2,4,4,4,1,3,5,0,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,1,0
15,4,4,2,1,0,4,3,2,1,1,5,6,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,0,0
15,1,1,3,1,1,5,5,5,1,1,1,2,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,1,1
15,4,3,2,4,0,2,2,2,1,1,3,6,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,0,0
15,3,3,1,2,0,1,3,2,2,3,1,24,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,0,1
16,4,4,1,3,0,5,3,3,1,3,5,0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0,0
16,2,2,2,1,0,2,3,3,2,2,2,4,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,1,0
15,4,4,1,3,0,4,2,2,1,1,5,2,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,0,0
16,1,1,1,1,0,3,4,4,3,3,1,4,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,1,0
17,2,1,1,1,0,5,4,5,1,2,5,22,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False,1,1
15,1,1,1,2,0,4,4,2,1,2,5,0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,1,0
15,2,1,2,1,0,4,4,2,1,1,5,0,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,1,0
15,3,2,1,2,1,3,3,2,1,1,3,2,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,1,0
15,1,2,1,2,0,4,3,2,1,1,5,6,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,1,0
15,1,2,1,2,0,2,3,4,2,4,1,6,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,0
16,4,4,1,1,0,3,3,2,2,1,5,16,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,0,1
15,2,1,4,1,0,4,5,5,2,5,5,0,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,1,0
18,1,1,1,1,2,2,3,5,2,5,4,0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,1,1
16,2,1,1,1,1,4,4,4,3,5,5,6,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,1,0
